column,dtype,missing,unique
gender,str,0,2
SeniorCitizen,int64,0,2
Partner,str,0,2
Dependents,str,0,2
tenure,int64,0,73
PhoneService,str,0,2
MultipleLines,str,0,3
InternetService,str,0,3
OnlineSecurity,str,0,3
OnlineBackup,str,0,3
DeviceProtection,str,0,3
TechSupport,str,0,3
StreamingTV,str,0,3
StreamingMovies,str,0,3
Contract,str,0,3
PaperlessBilling,str,0,2
PaymentMethod,str,0,4
MonthlyCharges,float64,0,1585
TotalCharges,float64,0,6531
Churn,int32,0,2
AvgMonthlyCharge,float64,0,6588
HasInternetService,int32,0,2
AutomaticPayment,int32,0,2
IsMonthToMonth,int32,0,2
NumInternetServices,int64,0,7
TenureGroup,category,0,4
