feature,importance_mean,importance_std
IsMonthToMonth,0.03085148156759403,0.0030901345788348178
tenure,0.023564804050737485,0.0020882725866812712
InternetService,0.017034281433258313,0.004870673026860662
TotalCharges,0.010318530574284956,0.0014225184816394848
Contract,0.010041721563460582,0.0014723045167994205
PaymentMethod,0.002842233072412048,0.0011419363373911947
TenureGroup,0.002563228189826572,0.0007971531800555473
AvgMonthlyCharge,0.0015012012710221346,0.0019379032775440773
OnlineSecurity,0.0011329406597948121,0.0008178501655875362
MonthlyCharges,0.0010434265932986353,0.002052925512209556
PaperlessBilling,0.0009407372962359717,0.0009552218227105092
StreamingMovies,0.0009216202950217744,0.000768516744653752
TechSupport,0.0008879072050426484,0.0007851954162433335
HasInternetService,0.0008200935183031554,0.0011441234167823345
MultipleLines,0.0005678266036321267,0.0004571858222678124
SeniorCitizen,0.0005392802707380074,0.0003410031542544474
StreamingTV,0.0005186132423983247,0.001156475777602407
Dependents,0.0003460435557621433,0.0002747168009533572
NumInternetServices,0.0002806840786380049,0.0004584463626954442
OnlineBackup,0.0002697047198325309,0.0010120475371586952
PhoneService,0.0002633754424034906,0.00010967567708962881
gender,8.253894443142063e-05,0.00024213469063845156
DeviceProtection,5.877186184083394e-05,0.0007351113041543816
Partner,-1.0979358805529582e-05,0.00027849686393629006
AutomaticPayment,-0.0007577049265029556,0.00036997696854053195
